台湾临时,#genre#
民視,http://37.27.111.214:8080/live/6/hls.m3u8
KOREA,http://37.27.111.214:8080/live/52/hls.m3u8
TVBS,http://37.27.111.214:8080/live/23/hls.m3u8
ROCK,http://37.27.111.214:8080/live/70/hls.m3u8
HITS,http://37.27.111.214:8080/live/28/hls.m3u8
CNBC,http://37.27.111.214:8080/live/102/hls.m3u8
momo,http://37.27.111.214:8080/live/3/hls.m3u8
LUXE,http://37.27.111.214:8080/live/86/hls.m3u8
MTV,http://37.27.111.214:8080/live/25/hls.m3u8
MCE,http://37.27.111.214:8080/live/98/hls.m3u8
VOA,http://37.27.111.214:8080/live/45/hls.m3u8
elta生活旅遊,http://37.27.111.214:8080/live/85/hls.m3u8
亞洲旅遊,http://37.27.111.214:8080/live/10/hls.m3u8
靖洋戲居,http://37.27.111.214:8080/live/17/hls.m3u8
靖天電影,http://37.27.111.214:8080/live/18/hls.m3u8
環宇財經,http://37.27.111.214:8080/live/65/hls.m3u8
智林體育,http://37.27.111.214:8080/live/77/hls.m3u8
東森購物,http://37.27.111.214:8080/live/66/hls.m3u8
人間衛視,http://37.27.111.214:8080/live/101/hls.m3u8
八大綜合,http://37.27.111.214:8080/live/21/hls.m3u8
幸福空間,http://37.27.111.214:8080/live/26/hls.m3u8
東森購物,http://37.27.111.214:8080/live/61/hls.m3u8
博斯無限,http://37.27.111.214:8080/live/15/hls.m3u8
LIFE TIME,http://37.27.111.214:8080/live/71/hls.m3u8
動畫,http://37.27.111.214:8080/live/57/hls.m3u8
新唐人,http://37.27.111.214:8080/live/51/hls.m3u8
TV5 MONDE,http://37.27.111.214:8080/live/9/hls.m3u8
PET CLUB,http://37.27.111.214:8080/live/81/hls.m3u8
FESTIVAL,http://37.27.111.214:8080/live/83/hls.m3u8
動漫2,http://37.27.111.214:8080/live/106/hls.m3u8
HakkaTV,http://37.27.111.214:8080/live/1/hls.m3u8
動漫,http://37.27.111.214:8080/live/105/hls.m3u8
nickjr,http://37.27.111.214:8080/live/22/hls.m3u8
CNBC,http://37.27.111.214:8080/live/102/hls.m3u8
居家,http://37.27.111.214:8080/live/26/hls.m3u8
GOOD2,http://37.27.111.214:8080/live/99/hls.m3u8
TiTV,http://37.27.111.214:8080/live/2/hls.m3u8
凤凰咨讯,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰中文,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
黃金華劇臺,http://158.247.232.58:29191/stream/mytv/tvbhjhj/master.m3u8
有线新闻,rtmp://27.223.28.254:40085/hls/yifatvgdfc
TVB 翡翠2,rtmp://27.223.28.254:40085/vlive/yifatvjade
TVB 翡翠,http://223.244.26.190:8082/tvb翡翠.盗源者死全家/易發TV/hls.m3u8
Now 星影,http://223.244.26.190:8082/now星影.盗源者死全家/易發TV/hls.m3u8
Now 星影备,http://47.108.227.19:9080/now星影.盗源者死全家/易發TV/hls.m3u8
Now 爆谷,http://223.244.26.190:8082/now包谷.盗源者死全家/易發TV/hls.m3u8
Now 爆谷备,http://47.108.227.19:9080/now包谷.盗源者死全家/易發TV/hls.m3u8
无线 新闻,http://47.108.227.19:9080/tvb新闻.盗源者死全家/易發TV/hls.m3u8
TVB plus,http://223.244.26.190:8082/j2.盗源者死全家/易發TV/hls.m3u8
有线 18,http://220.249.51.134:10006/you18-盗源者死全家/易發TV/hls.m3u8
HOY 77,http://39.101.75.133:80/hoy77-盗源者死全家/易發TV/hls.m3u8
HOY 78,http://39.101.75.133:80/hoy78-盗源者死全家/易發TV/hls.m3u8
美亚电影,http://39.101.75.133:80/美亚电影-盗源者死全家/易發TV/hls.m3u8
爱尔达综合300,http://47.108.227.19:9080/爱尔达综合300-盗源者死全家/易發TV/hls.m3u8
Now 新闻,http://47.108.227.19:9080/now新闻-盗源者死全家/易發TV/hls.m3u8
东森新闻,http://220.249.51.134:10006/东森新闻-盗源者死全家/易發TV/hls.m3u8
中天新闻,http://220.249.51.134:10006/中天新闻-盗源者死全家/易發TV/hls.m3u8
中天新闻2,http://139.196.45.155:80/中天新闻-盗源者死全家/易發TV/hls.m3u8
東風衛視,http://211.72.65.236:8528/http/61.67.128.137:8081/hls/68/810/ch31.m3u8
MUCH TV,http://211.72.65.236:8529/http/61.67.128.137:8081/hls/72/814/ch45.m3u8
民视,rtmp://f13h.mine.nu/sat/tv051
视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
东森超视,rtmp://f13h.mine.nu/sat/tv331
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
MoMo,rtmp://f13h.mine.nu/sat/tv761
DAZN体育-1,rtmp://f13h.mine.nu/sat/tv731
DAZN体育-2,rtmp://f13h.mine.nu/sat/tv741
中视闽南,rtmp://f13h.mine.nu/sat/tv091
视闽南,rtmp://f13h.mine.nu/sat/tv071
华视闽南,rtmp://f13h.mine.nu/sat/tv111
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo,rtmp://f13h.mine.nu/sat/tv761
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来体育,rtmp://f13h.mine.nu/sat/tv721
ELEVEN1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN2,rtmp://f13h.mine.nu/sat/tv741
中视闽南,rtmp://f13h.mine.nu/sat/tv091
视闽南,rtmp://f13h.mine.nu/sat/tv071
华视闽南,rtmp://f13h.mine.nu/sat/tv111
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo,rtmp://f13h.mine.nu/sat/tv761
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来体育,rtmp://f13h.mine.nu/sat/tv721
ELEVEN1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN2,rtmp://f13h.mine.nu/sat/tv741
视,rtmp://220.130.201.73/sat/tv071
民视,rtmp://220.130.201.73/sat/tv051
纬来体育,rtmp://220.130.201.73/sat/tv721
纬来日本,rtmp://220.130.201.73/sat/tv771
东森超视,rtmp://220.130.201.73/sat/tv331
民视,rtmp://f13h.mine.nu/sat/tv051
视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
華視,rtmp://f13h.mine.nu/sat/tv111
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741

港澳3,#genre#
民視,http://cookies.elementfx.com/ublive/ublive.php?id=336
民視,http://cookies.elementfx.com/ublive/ublive.php?id=2805
台視,http://cookies.elementfx.com/ublive/ublive.php?id=27
台視,http://cookies.elementfx.com/ublive/ublive.php?id=326
台視,http://cookies.elementfx.com/ublive/ublive.php?id=312
中視,http://cookies.elementfx.com/ublive/ublive.php?id=333
中視,http://cookies.elementfx.com/ublive/ublive.php?id=1041
華視,http://cookies.elementfx.com/ublive/ublive.php?id=32
公視,http://cookies.elementfx.com/ublive/ublive.php?id=86
公視,http://cookies.elementfx.com/ublive/ublive.php?id=28
好消息,http://cookies.elementfx.com/ublive/ublive.php?id=104
客家電視,http://cookies.elementfx.com/ublive/ublive.php?id=76
緯來綜合,http://cookies.elementfx.com/ublive/ublive.php?id=2726
八大第一,http://cookies.elementfx.com/ublive/ublive.php?id=318
八大綜合,http://cookies.elementfx.com/ublive/ublive.php?id=3258
八大綜合,http://cookies.elementfx.com/ublive/ublive.php?id=2286
東風衛視,http://cookies.elementfx.com/ublive/ublive.php?id=3262
三立臺灣,http://cookies.elementfx.com/ublive/ublive.php?id=35
三立臺灣,http://cookies.elementfx.com/ublive/ublive.php?id=2436
三立臺灣,http://cookies.elementfx.com/ublive/ublive.php?id=21
三立都會,http://cookies.elementfx.com/ublive/ublive.php?id=2435
三立都會,http://cookies.elementfx.com/ublive/ublive.php?id=1001
三立都會,http://cookies.elementfx.com/ublive/ublive.php?id=38
東森綜合,http://cookies.elementfx.com/ublive/ublive.php?id=372
東森綜合-替,http://cookies.elementfx.com/ublive/ublive.php?id=3254
東森超視,http://cookies.elementfx.com/ublive/ublive.php?id=80
東森購物2,http://cookies.elementfx.com/ublive/ublive.php?id=1156
中天綜合,http://cookies.elementfx.com/ublive/ublive.php?id=3072
中天綜合,http://cookies.elementfx.com/ublive/ublive.php?id=54
中天娛樂,http://cookies.elementfx.com/ublive/ublive.php?id=324
TVBS歡樂,http://cookies.elementfx.com/ublive/ublive.php?id=40
八大精彩,http://cookies.elementfx.com/ublive/ublive.php?id=1024
JET綜合,http://cookies.elementfx.com/ublive/ublive.php?id=41
東森購物1,http://cookies.elementfx.com/ublive/ublive.php?id=1155
TVBS,http://cookies.elementfx.com/ublive/ublive.php?id=2273
TVBS,http://cookies.elementfx.com/ublive/ublive.php?id=16
緯來育樂,http://cookies.elementfx.com/ublive/ublive.php?id=338
緯來育樂（測試）,http://cookies.elementfx.com/ublive/ublive.php?id=2772
緯來日本,http://cookies.elementfx.com/ublive/ublive.php?id=337
緯來日本,http://cookies.elementfx.com/ublive/ublive.php?id=46
國興衛視,http://cookies.elementfx.com/ublive/ublive.php?id=65
八大娱乐,http://cookies.elementfx.com/ublive/ublive.php?id=105
公視3台,http://cookies.elementfx.com/ublive/ublive.php?id=1340
好消息2,http://cookies.elementfx.com/ublive/ublive.php?id=363
高點綜合,http://cookies.elementfx.com/ublive/ublive.php?id=99
中天亞洲,http://cookies.elementfx.com/ublive/ublive.php?id=2277
中天亞洲,http://cookies.elementfx.com/ublive/ublive.php?id=322
民視第一台,http://cookies.elementfx.com/ublive/ublive.php?id=34
民視台灣,http://cookies.elementfx.com/ublive/ublive.php?id=36
龍華日韓,http://cookies.elementfx.com/ublive/ublive.php?id=382
豬哥亮歌廳秀,http://cookies.elementfx.com/ublive/ublive.php?id=75
豬哥會社,http://cookies.elementfx.com/ublive/ublive.php?id=103
ELTA娛樂台,http://cookies.elementfx.com/ublive/ublive.php?id=351
韓國娛樂,http://cookies.elementfx.com/ublive/ublive.php?id=73
靖天國際,http://cookies.elementfx.com/ublive/ublive.php?id=345
靖天育樂,http://cookies.elementfx.com/ublive/ublive.php?id=1029
靖天日本,http://cookies.elementfx.com/ublive/ublive.php?id=108
靖天歡樂,http://cookies.elementfx.com/ublive/ublive.php?id=51
三立綜合,http://cookies.elementfx.com/ublive/ublive.php?id=315
三立綜合,http://cookies.elementfx.com/ublive/ublive.php?id=2815
靖天資訊,http://cookies.elementfx.com/ublive/ublive.php?id=49
靖天綜合,http://cookies.elementfx.com/ublive/ublive.php?id=308
中視經典,http://cookies.elementfx.com/ublive/ublive.php?id=185
中視菁采,http://cookies.elementfx.com/ublive/ublive.php?id=74
TVBS精采,http://cookies.elementfx.com/ublive/ublive.php?id=66
TVBS精采,http://cookies.elementfx.com/ublive/ublive.php?id=117
年代much,http://cookies.elementfx.com/ublive/ublive.php?id=1359
ELTA綜合,http://cookies.elementfx.com/ublive/ublive.php?id=1137
東森購物3,http://cookies.elementfx.com/ublive/ublive.php?id=1584
MOMO購物1,http://cookies.elementfx.com/ublive/ublive.php?id=1585
MOMO購物2,http://cookies.elementfx.com/ublive/ublive.php?id=1586
美好購物1,http://cookies.elementfx.com/ublive/ublive.php?id=1591
美好購物2,http://cookies.elementfx.com/ublive/ublive.php?id=1592
大立電視,http://cookies.elementfx.com/ublive/ublive.php?id=1593
國會頻道１,http://cookies.elementfx.com/ublive/ublive.php?id=2614
國會頻道2,http://cookies.elementfx.com/ublive/ublive.php?id=420
海豚綜合,http://cookies.elementfx.com/ublive/ublive.php?id=262
台灣地震監視,http://cookies.elementfx.com/ublive/ublive.php?id=2637
中視經典綜藝,http://cookies.elementfx.com/ublive/ublive.php?id=2773
萬秀豬王,http://cookies.elementfx.com/ublive/ublive.php?id=2978
三立新聞,http://cookies.elementfx.com/ublive/ublive.php?id=43
三立新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2794
三立新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2392
三立新聞+,http://cookies.elementfx.com/ublive/ublive.php?id=320
東森新聞,http://cookies.elementfx.com/ublive/ublive.php?id=1025
東森新聞4,http://cookies.elementfx.com/ublive/ublive.php?id=2766
東森新聞,http://cookies.elementfx.com/ublive/ublive.php?id=1358
東森新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2393
東森亞洲,http://cookies.elementfx.com/ublive/ublive.php?id=3
中天新聞2台,http://cookies.elementfx.com/ublive/ublive.php?id=152
中天新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2420
民視新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2395
民視新聞,http://cookies.elementfx.com/ublive/ublive.php?id=13
TVBS新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2736
TVBS新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2
TVBS新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2396
東森財經,http://cookies.elementfx.com/ublive/ublive.php?id=2397
東森財經,http://cookies.elementfx.com/ublive/ublive.php?id=12
華視新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2424
華視新聞,http://cookies.elementfx.com/ublive/ublive.php?id=1171
台視新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2399
台視新聞,http://cookies.elementfx.com/ublive/ublive.php?id=1
中視新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2400
寰宇新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2401
寰宇新聞,http://cookies.elementfx.com/ublive/ublive.php?id=304
寰宇財經,http://cookies.elementfx.com/ublive/ublive.php?id=2536
公視新聞,http://cookies.elementfx.com/ublive/ublive.php?id=20
寰宇臺灣,http://cookies.elementfx.com/ublive/ublive.php?id=87
年代新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2719
壹新聞,http://cookies.elementfx.com/ublive/ublive.php?id=2777
年代新聞-備,http://cookies.elementfx.com/ublive/ublive.php?id=1099
壹新聞-替,http://cookies.elementfx.com/ublive/ublive.php?id=494
台視財經,http://cookies.elementfx.com/ublive/ublive.php?id=300
鏡新聞mnews,http://cookies.elementfx.com/ublive/ublive.php?id=463
三立国際,http://cookies.elementfx.com/ublive/ublive.php?id=2285
CBN News,http://cookies.elementfx.com/ublive/ublive.php?id=499
東森戲劇,http://cookies.elementfx.com/ublive/ublive.php?id=2825
東森戲劇-備,http://cookies.elementfx.com/ublive/ublive.php?id=321
八大戲劇,http://cookies.elementfx.com/ublive/ublive.php?id=81
緯來戲劇,http://cookies.elementfx.com/ublive/ublive.php?id=2727
緯來戲劇-備,http://cookies.elementfx.com/ublive/ublive.php?id=339
東森電影-備,http://cookies.elementfx.com/ublive/ublive.php?id=350
東森電影,http://cookies.elementfx.com/ublive/ublive.php?id=2720
緯來電影,http://cookies.elementfx.com/ublive/ublive.php?id=2728
緯來電影,http://cookies.elementfx.com/ublive/ublive.php?id=3252
HBO HD,http://cookies.elementfx.com/ublive/ublive.php?id=332
HBO HD,http://cookies.elementfx.com/ublive/ublive.php?id=2823
東森洋片,http://cookies.elementfx.com/ublive/ublive.php?id=1128
壹電影,http://cookies.elementfx.com/ublive/ublive.php?id=2284
好萊塢電影,http://cookies.elementfx.com/ublive/ublive.php?id=37
愛爾達影劇,http://cookies.elementfx.com/ublive/ublive.php?id=500
CineMAX,http://cookies.elementfx.com/ublive/ublive.php?id=346
靖天映畫,http://cookies.elementfx.com/ublive/ublive.php?id=349
靖洋戲劇,http://cookies.elementfx.com/ublive/ublive.php?id=319
緯來精彩,http://cookies.elementfx.com/ublive/ublive.php?id=2280
EYE戲劇,http://cookies.elementfx.com/ublive/ublive.php?id=191
三立戲劇,http://cookies.elementfx.com/ublive/ublive.php?id=64
三立戲劇,http://cookies.elementfx.com/ublive/ublive.php?id=2819
龍華偶像,http://cookies.elementfx.com/ublive/ublive.php?id=385
霹靂臺灣,http://cookies.elementfx.com/ublive/ublive.php?id=1339
靖天電影,http://cookies.elementfx.com/ublive/ublive.php?id=110
美亞電影,http://cookies.elementfx.com/ublive/ublive.php?id=375
HBOSignature,http://cookies.elementfx.com/ublive/ublive.php?id=329
HBOSignature,http://cookies.elementfx.com/ublive/ublive.php?id=2824
HBO Hits,http://cookies.elementfx.com/ublive/ublive.php?id=330
采昌影劇,http://cookies.elementfx.com/ublive/ublive.php?id=62
采昌影劇,http://cookies.elementfx.com/ublive/ublive.php?id=2804
影迷數位電影,http://cookies.elementfx.com/ublive/ublive.php?id=497
影迷數位電影,http://cookies.elementfx.com/ublive/ublive.php?id=2800
龍華戲劇,http://cookies.elementfx.com/ublive/ublive.php?id=365
龍華戲劇,http://cookies.elementfx.com/ublive/ublive.php?id=2796
龍華經典,http://cookies.elementfx.com/ublive/ublive.php?id=100
龍翔時代,http://cookies.elementfx.com/ublive/ublive.php?id=373
AXN臺灣,http://cookies.elementfx.com/ublive/ublive.php?id=2816
天映經典,http://cookies.elementfx.com/ublive/ublive.php?id=2289
公視戲劇,http://cookies.elementfx.com/ublive/ublive.php?id=69
AXN亞洲,http://cookies.elementfx.com/ublive/ublive.php?id=1066
